Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5DXdVY9zsLqV58QoIiT6FS,"ONE BAR LEFT","STILL REMINISCING","Paul Stephan;BexBlu;Awaiting Kvng",2025-05-16,144039,25,true,11164375455,2026-03-23T19:11:52Z,"grime,britse grime","Always Moving Sounds.",0.733,0.537,3,-13.577,1,0.311,0.143,0,0.125,0.898,140.059,4
spotify:track:66UfBFQXrRHI1MoEzxNRsI,"B I T C H","B I T C H","Siggy & D1ns;ILLIE;GEM-Z",2025-05-16,189938,27,true,11164375455,2026-03-23T19:11:52Z,"","Building Bridges",0.694,0.63,10,-7.812,0,0.377,0.123,0,0.163,0.468,81.765,4
spotify:track:7lbI8DMRzjjqtY2CYhtesD,"keine liebe im club","keine liebe im club","Sampagne",2025-05-22,154581,59,false,11164375455,2026-03-23T19:11:52Z,"duitse hiphop,duitse indie","Sampagne x Ventura Records",0.857,0.621,9,-6.215,0,0.0805,0.416,0.000274,0.124,0.862,110.017,4
spotify:track:2oF9touLmU9Daay0C6G2fF,"TBH","TBH","DIKKE",2025-05-21,157151,29,true,11164375455,2026-03-23T19:11:52Z,"","Top Notch Music BV",0.807,0.705,7,-6.305,1,0.337,0.545,0.00000378,0.0804,0.791,95.079,4
spotify:track:0l09zFkGRy6VHjx1RfMD1H,"Follow My Lead","Again / Follow My Lead","KIRBS",2024-06-06,160551,59,true,11164375455,2026-03-23T19:11:52Z,"","Live Yours",0.614,0.438,3,-5.495,0,0.391,0.0795,0.00000444,0.157,0.16,102.919,4
spotify:track:5dZrVr2VcEpOKNTTUukIO9,"Ballen Van Staal","Odje Tape Vol. I","Marou;Massin;OD",2025-05-30,124035,26,true,11164375455,2026-03-23T19:11:52Z,"","KNOWL369E",0.789,0.877,6,-5.888,0,0.347,0.427,0,0.0961,0.672,111.181,4
spotify:track:0nvPj2VhAABt6Ac467PEL3,"Afterparty","Afterparty","Gotu Jim",2025-05-30,142645,49,false,11164375455,2026-03-23T19:11:52Z,"hard house,nederpop","Burning Fik",0.754,0.941,5,-6.595,0,0.0436,0.469,0.587,0.0873,0.879,150.142,4
spotify:track:0lC1IUZXQ6ukTQfSVqCJa3,"voor alles bang","voor alles bang / h-e-l-p","Sef;Wende",2025-01-30,182663,36,false,11164375455,2026-03-23T19:11:52Z,"nederpop","Top Notch Music BV",0.717,0.738,4,-7.797,0,0.0529,0.124,0.092,0.157,0.474,140.004,4
spotify:track:5pa2ZyJ3dIEmxRDW74msQi,"Cops & Robbers","Cops & Robbers","Sammy Virji;Skepta",2025-05-29,161495,61,false,11164375455,2026-03-23T19:11:52Z,"britse garage,bassline,basshouse,house,grime,britse grime","Capitol Records UK",0.832,0.865,9,-5.281,1,0.179,0.196,0.00175,0.366,0.43,136.047,4
spotify:track:5oNlohQIizMEY8EbzJLpub,"h-e-l-p","voor alles bang / h-e-l-p","Sef",2025-01-30,187408,23,true,11164375455,2026-03-23T19:11:52Z,"nederpop","Top Notch Music BV",0.402,0.66,2,-7.859,1,0.0683,0.353,0.00178,0.444,0.196,77.254,4
spotify:track:3j3bZBzr3gW7Ui8p5ncEN5,"Batistuta / Weah","Batistuta / Weah","Louis Pedro",2025-06-06,139316,26,true,11164375455,2026-03-23T19:11:52Z,"","DGL Records",0.965,0.502,6,-7.812,0,0.33,0.0975,0,0.266,0.723,124.973,4
spotify:track:1wIuLWkmtamogzUPFTrtXs,"Suffe Goon","Suffe Goon","ADF Samski;Qlas;Yssi SB;Ronnie Flex",2025-06-13,181960,52,true,11164375455,2026-03-23T19:11:52Z,"nederpop","ADF ENT",0.679,0.673,9,-5.454,1,0.282,0.0825,0.0000165,0.118,0.281,152.883,4
spotify:track:7xp8x6Ln0mUvx5BEjDQEYO,"amore çok","amore çok","ALCATRAZ;Pashanim",2021-10-01,213000,66,false,11164375455,2026-03-23T19:11:52Z,"duitse hiphop","Live From Earth",0.607,0.487,0,-13.756,1,0.0444,0.00715,0.835,0.126,0.704,112.008,4
spotify:track:1FXuoNBFRSNU3PXQCQgoye,"pacifist","lieve monsters","Sef;Aziz Gnaoui",2025-06-26,200044,40,false,11164375455,2026-03-23T19:11:52Z,"nederpop","Top Notch Music BV",0.468,0.718,9,-9.268,0,0.154,0.0462,0.0328,0.288,0.143,152.914,4
spotify:track:1iRRfApmnhHVmRLCckQkyR,"we moeten door","lieve monsters","Sef",2025-06-26,229250,38,false,11164375455,2026-03-23T19:11:52Z,"nederpop","Top Notch Music BV",0.646,0.753,0,-7.817,1,0.0928,0.0376,0.0112,0.341,0.314,167.945,4
spotify:track:0zZ8RtMz63WdEOm6hXcw2p,"Marcus Dashford","Odje Tape Vol. I","Marou;Massin",2025-05-30,99086,20,true,11164375455,2026-03-23T19:11:52Z,"","KNOWL369E",0.789,0.611,0,-7.297,1,0.164,0.288,0.000223,0.311,0.675,104.07,4
